Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
085,23,2025-10-26 02:46:58,106788.54,3523,137.49,1.4941,0.1398,8.8733,0.0141,0.0141,10.5288
086,23,2025-10-26 02:46:58,106650.45,3541,138.09,1.4163,0.1877,8.7976,0.0063,0.0063,10.4214
087,23,2025-10-26 02:46:58,106567.82,3560,82.62,1.6163,0.1798,8.0837,0.006,0.006,9.8858
088,23,2025-10-26 02:46:58,106504.21,3582,63.61,1.5262,0.0987,8.1302,0.014,0.014,9.7714
089,23,2025-10-26 02:46:58,106435.17,3604,69.04,1.5449,0.1301,8.9012,0.0086,0.0086,10.5913
090,23,2025-10-26 02:46:58,106368.06,3645,67.1,1.5781,0.1051,9.8479,0.0116,0.0116,11.5467
091,23,2025-10-26 02:46:58,106897.2,3671,529.14,1.7335,0.0949,7.86,0.0122,0.0122,9.7005
092,23,2025-10-26 02:46:58,106607.17,3693,290.03,1.6212,0.0904,10.1416,0.0098,0.0098,11.8661
093,23,2025-10-26 02:46:58,106411.32,3718,195.85,1.6035,0.0911,8.5924,0.0,0.0,10.287
094,23,2025-10-26 02:46:58,106320.57,3738,90.75,1.6766,0.0806,8.4814,0.0,0.0,10.2385
095,23,2025-10-26 02:46:58,106141.85,3762,178.72,1.6135,0.0938,13.6663,0.008,0.008,15.3858
096,23,2025-10-26 02:46:58,105904.39,3779,237.46,2.1811,0.2603,7.9823,0.0138,0.0138,10.4644
097,23,2025-10-26 02:46:58,105814.42,3809,89.97,1.6262,0.161,8.2273,0.0,0.0,10.0176
098,23,2025-10-26 02:46:58,105709.74,3830,104.69,1.7058,0.149,8.4706,0.0,0.0,10.3273
099,23,2025-10-26 02:46:58,105635.48,3858,74.26,1.6862,0.12,7.0972,0.004,0.004,8.9186
100,23,2025-10-26 02:46:58,105573.46,3877,62.02,1.547,0.1042,7.429,0.009,0.009,9.093
