Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
075,13_pop200,2025-10-29 03:37:34,110231.08,3202,159.04,1.3057,0.1267,8.984,0.0081,0.0081,10.4328
076,13_pop200,2025-10-29 03:37:34,110102.64,3234,128.44,1.3336,0.1078,10.035,0.0082,0.0082,11.4875
077,13_pop200,2025-10-29 03:37:34,109966.57,3257,136.07,1.3068,0.1579,11.6031,0.0092,0.0092,13.0813
078,13_pop200,2025-10-29 03:37:34,109821.63,3292,144.95,1.5601,0.1032,9.838,0.005,0.005,11.5103
079,13_pop200,2025-10-29 03:37:34,109719.56,3324,102.06,1.2925,0.1025,12.1636,0.0061,0.0061,13.5666
080,13_pop200,2025-10-29 03:37:34,109637.96,3348,81.6,1.5081,0.1014,10.208,0.0082,0.0082,11.8286
081,13_pop200,2025-10-29 03:37:34,110437.46,3366,799.5,1.4868,0.1286,7.4441,0.0113,0.0113,9.0737
082,13_pop200,2025-10-29 03:37:34,110057.58,3393,379.87,1.3571,0.1123,9.0256,0.0102,0.0102,10.5102
083,13_pop200,2025-10-29 03:37:34,109858.03,3419,199.55,1.8324,0.2527,9.4898,0.0081,0.0081,11.586
084,13_pop200,2025-10-29 03:37:34,109694.95,3440,163.08,1.3769,0.0971,11.2618,0.0102,0.0102,12.749
085,13_pop200,2025-10-29 03:37:34,109481.08,3459,213.87,1.4308,0.0951,9.9755,0.0124,0.0124,11.5159
086,13_pop200,2025-10-29 03:37:34,109386.91,3486,94.17,1.8187,0.1115,10.4275,0.0072,0.0072,12.3678
087,13_pop200,2025-10-29 03:37:34,109281.97,3512,104.94,1.5998,0.0971,9.9731,0.0062,0.0062,11.6792
088,13_pop200,2025-10-29 03:37:34,109220.58,3545,61.39,1.63,0.1016,10.8783,0.0092,0.0092,12.6221
089,13_pop200,2025-10-29 03:37:34,109098.58,3569,122.0,1.729,0.1031,10.7294,0.004,0.004,12.5726
090,13_pop200,2025-10-29 03:37:34,109033.48,3588,65.1,1.6131,0.0993,9.9518,0.0062,0.0062,11.6743
091,13_pop200,2025-10-29 03:37:34,109295.39,3613,261.91,1.4364,0.1426,10.469,0.0071,0.0071,12.0614
092,13_pop200,2025-10-29 03:37:34,109103.47,3638,191.92,1.4921,0.1146,9.5028,0.0052,0.0052,11.1196
093,13_pop200,2025-10-29 03:37:34,108964.65,3673,138.82,1.7797,0.1264,10.126,0.0081,0.0081,12.0432
094,13_pop200,2025-10-29 03:37:34,108880.27,3699,84.38,1.5217,0.1043,10.9516,0.0103,0.0103,12.5921
095,13_pop200,2025-10-29 03:37:34,108822.15,3724,58.11,1.7058,0.1286,10.0853,0.0081,0.0081,11.9319
096,13_pop200,2025-10-29 03:37:34,108778.87,3756,43.28,1.4964,0.1011,10.505,0.0111,0.0111,12.1167
097,13_pop200,2025-10-29 03:37:34,108737.18,3783,41.69,1.684,0.1052,9.95,0.0102,0.0102,11.7525
098,13_pop200,2025-10-29 03:37:34,108708.85,3810,28.33,1.8108,0.0921,10.1518,0.0072,0.0072,12.0649
099,13_pop200,2025-10-29 03:37:34,108671.44,3835,37.41,1.7919,0.1038,10.0171,0.0102,0.0102,11.925
100,13_pop200,2025-10-29 03:37:34,108594.65,3873,76.79,1.7762,0.1002,10.2368,0.0082,0.0082,12.1254
